latitude,longitude,altitude,geometry,coordinates,OBJECTID,MaintainedBy,PBID,WHOLESTNAME,BEG_DESC,END_DESC,ACPT_DATE,TOT_FTa,TOT_MIa,ACPT_PROCESS,CARDIST,FIELDIST,MONTH_ACCEPT,DAY_ACCEPT,YEAR_ACCEPT,FY_REPORTEDa,NOTES,PREFIXDIRECTION,STREETNAME,STREETTYPE,SUFFIX,STNAMECHANGE,DATESTNAMECHANGE,TOPO,REC_MERGED,SR_FORMER,NCDOT_ACCEPTED,ANNEXATION_ACCEPTED,DATE_RECORDADDED,TIME_RECORDADDED,PREVIOUS_OMISSION,UPDATED,TERMINI,DIVIDED,DATE_UPDATED,DOTReleaseNote,ShapeSTLength
,,,LineString,"-80.9290512314974,35.22511320988063,-80.92881593800294,35.224947489761064,-80.92870257553649,35.224860128908325,-80.92857515206997,35.22476193239278,-80.9283838467088,35.22461520604205,-80.92814148523111,35.2243866191318,-80.92804312119445,35.224298870883764,-80.92794149081585,35.224214609855025,-80.92783573547287,35.22413293423145,-80.92778624554008,35.2240974400097,-80.92772359212466,35.22405250425573,-80.92760845863518,35.223975557065316,-80.92750876108524,35.22391393744045,-80.92740551133961,35.223855581129605,-80.92731602593632,35.223809143826884,-80.92726592804199,35.22378314548881,-80.92719985471248,35.22375076306619,-80.9271109182255,35.223707521944355,-80.92701927723864,35.22366798752309,-80.92692550334797,35.223632609294484,-80.9268480324542,35.223607283873434,-80.92682931076028,35.22360116336288,-80.92673153641755,35.22357363639098,-80.9266700651858,35.22355881344447,-80.92658344205847,35.223542558376565,-80.92649609032298,35.22353089573842,-80.92640799372114,35.22352313874002,-80.92631944882203,35.223519967986114,-80.9262310047318,35.22352114800573,-80.92618026679222,35.22352355851023,-80.92609452513919,35.223532711518104,-80.92600999401573,35.22354596575493,-80.92592668847504,35.22356378130484,-80.92584459226498,35.2235854713819,-80.9257645435022,35.22361124937045,-80.92568627355448,35.22364135142938,-80.92560673242473,35.22367674160605,-80.92552923540156,35.22371599131094,-80.9254554531219,35.22375884722897,-80.92540980794753,35.223787742729705,-80.92534615349112,35.22383410104469,-80.92528565176414,35.22388384437869,-80.92522912470093,35.22393650105036,-80.92517684732691,35.223991839962636,-80.9251285337859,35.224049633792056,-80.92508394578886,35.22411149059032,-80.92504387160018,35.22417533667584,-80.9250083016049,35.224240942045455,-80.92497807703855,35.224308296751154,-80.92494501854763,35.22439745188475,-80.92491728916865,35.224487666135374,-80.92491292443948,35.22450376783134,-80.92482158747991,35.225043865971074,-80.92478974834079,35.225231936373376",24958624,STATE,0,Josh Birmingham Py,,,,,,,,,,,,,, ,JOSH BIRMINGHAM,PY, ,,,G-27,,,,,,,,NO,,0,,,1892.8481278986164
,,,LineString,"-80.71931602955513,35.275334915312136,-80.71903258170359,35.27548023782599,-80.71865814129889,35.2756939489916,-80.71796257682651,35.27613366602666,-80.71767599759842,35.276302845076565,-80.71759179027646,35.27634869595708,-80.71736412980748,35.276464825064274,-80.71730162304637,35.27649152990629,-80.71719281267688,35.27653801810228,-80.71702218398137,35.27660990438709,-80.71693068197916,35.27664845397298",24958625,STATE,0,Rocky River Rd,,,,,,,,,,,,,, ,ROCKY RIVER,RD, ,,,R23,,,,,,,,NO,,0,2005-03-08T00:00:00.000Z,,859.2260336865832
,,,LineString,"-80.96535594930424,35.27369932178689,-80.9651824835205,35.27367142052704,-80.96511487463631,35.27365757153788,-80.96505076842058,35.27363516172331,-80.9649917660547,35.27360475251892,-80.96493933948581,35.27356710498689,-80.9649177433904,35.27355174798143,-80.96489358293344,35.273539223729735,-80.96486740326884,35.27352981709267,-80.96483979801523,35.27352373828731,-80.96481139049571,35.27352112662653,-80.96478282934403,35.2735220420026",24958630,STATE,0,Moores Chapel Rd,,,,,,,,,,,,,,,MOORES CHAPEL,RD,,,,E23,,,,,,,,,,0,,,187.14152981369483
,,,LineString,"-80.72985598243385,35.28859253581434,-80.72959758167009,35.28905034449347,-80.72933799246113,35.28951801615373,-80.72911857932147,35.289931297802674,-80.72910651046129,35.28995482866803",24958631,STATE,0,OLD CONCORD RD,,,,,,,,,,,,,, ,OLD CONCORD,RD, ,,,Q-22,,,,,,,,NO,,0,,,543.9386580979485
,,,LineString,"-80.8788731564344,35.26116091772841,-80.87903336072961,35.261058305059755,-80.87910510616484,35.261012351599085,-80.8794194081691,35.260826780177226,-80.87977885795573,35.260625621976054",24958632,STATE,0,N I-85 Exit 36 Rp,,,,,,,,,,,,,,N,I-85 EXIT 36,RP, ,,,J-24,,,,,,,,NO,,0,,,333.3487746672927
,,,LineString,"-80.82035143935205,35.218604839083326,-80.82023303075056,35.21859597891162",24958641,STATE,0,E INDEPENDENCE BV,,,,,,,,,,,,,,E,INDEPENDENCE,BV, ,,,M-28,,,,,,,,NO,,0,,,35.51115504377143
,,,LineString,"-80.89546191618292,35.2118220381107,-80.89564792484306,35.21178110689229,-80.8960489899032,35.21170039073354,-80.89619663028564,35.21167746471676,-80.89627458335616,35.21166706015799,-80.89637355447357,35.21165384919358,-80.89655114379748,35.21163480556609,-80.89672938544057,35.211619871995396,-80.89690773042393,35.211609288966955,-80.89719260296208,35.21159751043124,-80.89745218465451,35.21158677726805",24958645,STATE,0,West Bv,,,,,,,,,,,,,, ,WEST,BV, ,,,I-28,,,,,,,,NO,,0,,,602.5344775024986
,,,LineString,"-80.84900591525863,35.34899158286443,-80.84905823205246,35.348833914987246,-80.84909297041321,35.34872666797098",24958646,STATE,0,I-77 To W W T Harris Bv Ra Sb,,,,,,,,,,,,,,,I-77 TO W W T HARRIS BV,RA,SB,,,K16,,,,,,,,NO,,0,,,99.85027367723865
,,,LineString,"-80.82255043811304,35.18865144286173,-80.82246447377673,35.1884374658303,-80.8222780900741,35.188011793992445,-80.82218072526709,35.18778025786958,-80.82208363494871,35.187549370217674,-80.82205309850801,35.187481126674164",24958647,STATE,0,Providence Rd,,,,,,,,,,,,,, ,PROVIDENCE,RD, ,,,L-31,,,,,,,,NO,,0,,,451.1275056016853
,,,LineString,"-80.84679981635009,35.24702173327236,-80.84684741135418,35.246970226401814,-80.84691644091404,35.24692033320269,-80.84698336352392,35.24687318419174,-80.84702442713464,35.24684425498668,-80.84712836995904,35.24676226119977,-80.84718843426299,35.246714880122454,-80.84731861413917,35.24662037148346,-80.84747403230689,35.24651860699758,-80.847590204653,35.246446527185135,-80.84766045048195,35.24640829111853,-80.84770061868139,35.24638642603711,-80.84774188918111,35.24636396012937,-80.84781053409553,35.246326595190524,-80.84788353445292,35.246291561443556,-80.84798823807053,35.24624131342915,-80.84804111901886,35.24621593569046,-80.84808309942004,35.2461957895842,-80.84823161205942,35.246134207716224,-80.84827810538779,35.246116321651066,-80.84838216555427,35.246076486534626,-80.84851568844933,35.24603093509166,-80.84860938436877,35.24600179207182",24958653,STATE,0,N I-77 Exit 11 Ra,,,,,,,,,,,,,,N,I-77 EXIT 11,RA, ,,,K-25,,,,,,,,NO,,0,,,661.7980131781984
