X,Y,OBJECTID,STUNITID1,STUNITID2,STUNITID3,SIGNAL_ID,COMPTYPE,INT_COMPKEY,INT_UNITID,UNITID,COMPKEY,INTKEY,SERVSTAT,UNITDESC,UNITTYPE,SIGNAL_PLAN,NCDOT_ID,BIKE_LOS,PED_LOS,INSTALLATION_DATE,PED_BUTTONS,APS_TYPE,UNITTYPEDESC
-80.8659345488805,35.3529150926024,62322,11392,16036,,949,74,182163,51309,00949,182060,182163,OP,I-485 OUTER HY_W W T HARRIS BV,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00949.pdf,,,,2008/12/09 00:00:00+00,N,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.9724002712917,35.113346206772,62323,,,,80043,74,,,80043,176577,,OP,LAKE WYLIE ELEMENTARY SCHOOL,SF,,,,,2007/03/16 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.9404936840619,35.2649547993098,62324,,,,810,74,,,00810 ,165501,,OP,FIRE STATION 21 ,ES,,,,,1989/03/13 00:00:00+00,,,Emergency signal
-80.8957979223789,35.2440777714019,62325,441,11055, ,930,74,130761,10276,00930,162712,130761,OP,ASHLEY RD_TUCKASEEGEE RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00930.pdf,,F,D+,1994/06/28 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8330711726345,35.2025466730204,62326,8723,3385,15285,505,74,135587,15102,00505,162316,135587,OP,E MOREHEAD ST_EDGEHILL RD NORTH_QUEENS RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00505.pdf,,E,C-,1984/03/15 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8313395516042,35.2307198344807,62327,7426,3323,7427,136,74,132379,11894,00136,161831,132379,OP,E 12TH ST_N BREVARD ST_N BREVARD/CALDWELL CONNECTOR ST,TS,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00136.pdf,,D,B,1974/04/23 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8624411363628,35.2239496156154,62328,,,,90058,74,1,,90058,173735,,OP,FLASHER CLARKSON_PIPE FOUNDRY,MSF,,,,,,N,,MULTI-WAY STOP FLASHER
-80.750803967468,35.114705661037,62329,,,,80093,74,,,80093,236103,,OP,CARMEL CHRISTIAN,SF,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\80093.pdf,,,,2018/07/10 00:00:00+00,,,SCHOOL FLASHER
-80.8352571620558,35.1654514963669,62330,,,,80020,74,,,80020,173811,,OP,MYERS PARK HIGH_SELWYN ELEM_ALEXANDER GRAHAM MIDDLE SCHOOL,SF,,,,,2000/07/26 00:00:00+00,Y,,SCHOOL FLASHER (SPEED REDUCT)
-80.7746800821692,35.30211030248,62331,7538,,,1740,74,,,01740,234172,,OP,NEAL RD_VANCE SCHOOL ACCESS RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01740.pdf,,,,2016/06/29 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
