STATION,COUNTY,ROUTE,LOCATION,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
9049,ALAMANCE,ALBANY ST,E OF NC 100, , , , , , , ,2100, , , ,2100, ,2200, 
4062,ALAMANCE,ALBANY ST,E OF WRENN ST, ,1700, ,1900, ,1900, ,1600, ,1700, ,1400, ,1500, 
4301,ALAMANCE,ALBANY ST,W OF NC 87 WEBB AVE, ,1400, ,1300, ,1200, ,1200, ,1300, ,1300, ,1300, 
4267,ALAMANCE,ALBRIGHT AVE,E OF SR 1716 N MAIN ST, ,630, ,630, ,520, ,610, ,590, ,560, ,720, 
4271,ALAMANCE,ALBRIGHT AVE,W OF NC 49 E ELM ST, ,400, ,280, ,270, ,350, ,360, ,400, ,340, 
4270,ALAMANCE,ALBRIGHT AVE,W OF WALKER AVE, ,590, ,630, ,500, ,640, ,660, ,560, ,640, 
9046,ALAMANCE,ANTHONY ST,W OF NC 100, , , , , , , ,870, , , ,850, ,730, 
4509,ALAMANCE,APPLE ST,N OF BURKE ST, ,680, ,700, ,660, ,660, ,630, ,640, ,560, 
4757,ALAMANCE,APPLE ST,W OF NC 62 RAUHUT ST, ,1100, ,1300, ,1700, ,1500, ,1600, ,1300, ,1400, 
9037,ALAMANCE,BEAUMONT AVE,N OF GRAHAM ST, , , , , , , ,3100, , , ,2900, ,3400, 
4061,ALAMANCE,BELMONT ST,N OF ALBANY ST, ,3200, ,3500, ,3200, ,2900, ,3000, ,2700, ,3000, 
9050,ALAMANCE,BELMONT ST,N OF NC 49-54, , , , , , , ,2200, , , ,1900, ,2000, 
4148,ALAMANCE,BELMONT ST,S OF NC 87 WEBB AVE, , , ,1500, ,1300, ,1200, ,1400, ,1100, ,1300, 
4089,ALAMANCE,BROAD ST,W OF NC 87-100 WEBB AVE, ,1500, ,1500, ,1500, ,1200, ,1200, ,1100, ,1100, 
4510,ALAMANCE,BURKE ST,W OF APPLE ST, ,1600, ,1600, ,1500, ,1300, ,1200, ,1200, ,990, 
4324,ALAMANCE,CEDAR ST,E OF WASHINGTON ST, ,140, ,200, , , ,140, ,130, ,120, ,120, 
4325,ALAMANCE,COLLEGE ST,W OF ONEIDA ST, ,790, ,790, ,690, ,610, ,690, ,730, ,600, 
4755,ALAMANCE,COUNTRY CLUB DR,N OF US 70/NC 62, ,1700, ,2200, ,2000, , , ,1800, ,1600, ,1700, 
